#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 01 00 50  41  5.2  6.2  1.85  7.14  5.64 359 1014.8  21.0  23.4 999.0 99.0 99.00
2019 01 01 01 50  50  5.9  7.2  2.07  7.14  5.87 339 1015.1  21.3  23.4 999.0 99.0 99.00
2019 01 01 02 50  47  5.1  6.2  1.77  7.14  5.58 294 1015.6  21.7  23.4 999.0 99.0 99.00
2019 01 01 03 50  74  6.1  7.4  1.74  6.67  5.66  49 1015.7  21.8  23.4 999.0 99.0 99.00
2019 01 01 04 50  69  4.9  5.9  1.50  6.67  5.54 300 1015.9  22.2  23.4 999.0 99.0 99.00
2019 01 01 05 50  55  5.0  5.7  1.52  6.67  5.69 342 1015.7  22.3  23.3 999.0 99.0 99.00
2019 01 01 06 50  71  5.1  6.0  1.49  6.67  5.60 356 1015.2  22.6  23.3 999.0 99.0 99.00
2019 01 01 07 50  62  5.2  6.0  1.35  6.25  5.40  60 1015.1  22.6  23.3 999.0 99.0 99.00
2019 01 01 08 50  56  5.2  6.1  1.39  6.67  5.53 117 1015.1  22.6  23.3 999.0 99.0 99.00
2019 01 01 09 50  65  5.2  5.9  1.30  7.14  5.46 123 1015.0  22.7  23.2 999.0 99.0 99.00
2019 01 01 10 50  78  4.1  4.9  1.17  7.14  5.44 127 1015.2  22.9  23.2 999.0 99.0 99.00
2019 01 01 11 50 117  3.7  4.6  1.25  6.67  5.45 133 1015.3  23.1  23.1 999.0 99.0 99.00
2019 01 01 12 50 127  3.8  4.6  1.02  7.14  5.32 127 1016.0  23.0  23.1 999.0 99.0 99.00
2019 01 01 13 50 124  2.9  3.4  1.12  6.67  5.57 133 1016.9  23.2  23.0 999.0 99.0 99.00
2019 01 01 14 50 128  4.9  5.9  1.11  6.67  5.54 133 1017.5  23.5  23.0 999.0 99.0 99.00
2019 01 01 15 50 113  3.7  4.4  1.09  6.67  5.59 127 1018.2  23.5  23.0 999.0 99.0 99.00
2019 01 01 16 50 107  3.8  4.5  1.20  7.69  5.74 118 1018.0  23.4  23.0 999.0 99.0 99.00
2019 01 01 17 50  95  2.9  3.7  1.07  7.14  5.61 113 1017.3  23.2  23.2 999.0 99.0 99.00
2019 01 01 18 50  93  2.7  3.4  1.06  7.69  5.61 117 1016.5  23.4  23.6 999.0 99.0 99.00
2019 01 01 19 50  92  3.0  3.5  1.06  7.14  5.57 107 1016.0  23.4  23.7 999.0 99.0 99.00
2019 01 01 20 50  76  2.9  3.4  1.04  6.67  5.66 120 1015.7  23.6  23.8 999.0 99.0 99.00
2019 01 01 21 50  98  3.8  4.4  0.94  7.69  5.41 105 1015.8  23.7  23.9 999.0 99.0 99.00
2019 01 01 22 50 108  3.2  4.0  0.99  7.14  5.45 122 1015.9  23.7  23.7 999.0 99.0 99.00
2019 01 01 23 50 136  3.8  4.7  0.98  6.25  5.34 118 1016.4  23.6  23.7 999.0 99.0 99.00
2019 01 02 00 50 103  2.6  3.1  1.04  7.69  5.36 123 1017.0  23.5  23.7 999.0 99.0 99.00
2019 01 02 01 50 112  2.3  2.8  1.06  7.69  5.22 115 1017.7  23.4  23.6 999.0 99.0 99.00
2019 01 02 02 50 107  4.1  5.1  1.05  7.14  5.14 131 1017.8  23.3  23.5 999.0 99.0 99.00
2019 01 02 03 50 103  2.8  3.3  1.08  7.14  5.31 118 1018.2  23.4  23.5 999.0 99.0 99.00
2019 01 02 04 50 136  8.3 12.0  0.98  7.14  5.22 120 1017.7  23.5  23.5 999.0 99.0 99.00
2019 01 02 05 50 116  7.9  9.4  1.05  7.14  4.82 123 1017.3  22.8  23.3 999.0 99.0 99.00
2019 01 02 06 50 112  8.0  9.8  1.11  7.14  4.76 121 1016.5  22.6  23.2 999.0 99.0 99.00
2019 01 02 07 50  98  6.6  7.5  1.12  6.67  4.65 117 1016.2  23.0  23.2 999.0 99.0 99.00
2019 01 02 08 50 106  5.5  6.6  1.12  5.56  4.80  30 1015.9  23.1  23.2 999.0 99.0 99.00
2019 01 02 09 50 123  5.2  6.5  1.00  6.25  4.84 111 1015.8  23.3  23.2 999.0 99.0 99.00
2019 01 02 10 50 133  7.1  8.5  1.09  5.56  5.04  44 1015.4  23.4  23.1 999.0 99.0 99.00
2019 01 02 11 50 139  6.9  8.3  1.10  5.88  4.92  74 1016.0  23.5  23.3 999.0 99.0 99.00
2019 01 02 20 50 157  5.1  6.1  1.09  6.67  4.95 133 1013.5  23.6  23.4 999.0 99.0 99.00
2019 01 02 21 50 155  6.1  7.2  1.33  6.25  5.24 134 1012.9  23.5  23.3 999.0 99.0 99.00
2019 01 02 22 50 145  7.6  9.2  1.18  6.67  4.96 140 1011.8  23.2  23.1 999.0 99.0 99.00
2019 01 02 23 50 166  5.1  6.4  1.41  6.25  5.17 139 1013.5  23.3  23.0 999.0 99.0 99.00
2019 01 03 00 50 174  3.9  4.7  1.37  6.67  5.24 142 1014.2  23.3  23.0 999.0 99.0 99.00
2019 01 03 01 50 165  3.3  3.9  1.24  6.67  5.21 140 1014.3  23.3  23.1 999.0 99.0 99.00
2019 01 03 02 50 176  3.4  4.1  1.29  7.14  5.45 145 1014.9  23.3  23.2 999.0 99.0 99.00
2019 01 03 03 50 172  3.4  3.9  1.30  7.14  5.43 149 1014.9  23.4  23.2 999.0 99.0 99.00
2019 01 03 04 50 155  3.8  4.5  1.36  7.14  5.43 146 1014.3  23.3  23.2 999.0 99.0 99.00
2019 01 03 05 50 170  4.4  5.2  1.19  6.67  5.36 146 1014.4  23.4  23.3 999.0 99.0 99.00
2019 01 03 06 50 160  5.7  7.1  1.16  6.25  5.20 149 1013.2  23.4  23.3 999.0 99.0 99.00
2019 01 03 07 50 172  5.4  6.3  1.28  7.14  5.32 135 1013.3  23.4  23.4 999.0 99.0 99.00
2019 01 03 08 50 163  6.0  7.3  1.26  7.14  5.31 152 1012.5  23.4  23.4 999.0 99.0 99.00
2019 01 03 09 50 164  5.6  6.7  1.14  6.67  5.21 143 1012.4  23.3  23.4 999.0 99.0 99.00
2019 01 03 10 50 163  5.6  6.8  1.15  6.67  5.12 145 1012.3  23.3  23.4 999.0 99.0 99.00
2019 01 03 11 50 160  4.8  5.6  1.03  6.67  4.92 154 1012.4  23.2  23.0 999.0 99.0 99.00
2019 01 03 12 50 160  4.4  5.3  1.09  6.25  4.99 152 1013.0  23.3  22.9 999.0 99.0 99.00
2019 01 03 13 50 174  3.2  3.7  1.09  6.25  5.09 144 1014.1  23.3  23.0 999.0 99.0 99.00
2019 01 03 14 50 166  4.6  5.4  1.09  5.88  5.13 179 1014.7  23.4  22.9 999.0 99.0 99.00
2019 01 03 15 50 172  5.6  6.6  1.07  5.88  5.07 183 1014.8  23.6  22.9 999.0 99.0 99.00
2019 01 03 17 50 288  7.6  9.1  1.12  5.88  5.03 186 1013.8  22.0  22.9 999.0 99.0 99.00
2019 01 03 18 50 287  8.9 11.2  1.10  7.69  4.85  53 1013.1  21.3  22.9 999.0 99.0 99.00
2019 01 03 19 50 299  9.6 11.8  1.18  5.88  4.49 132 1012.9  19.9  23.0 999.0 99.0 99.00
2019 01 03 20 50 307 10.2 12.3  1.42  6.67  4.48  10 1013.1  19.0  23.1 999.0 99.0 99.00
2019 01 03 21 50 308  9.4 11.2  1.71  5.00  4.70 296 1013.6  18.7  23.2 999.0 99.0 99.00
2019 01 03 22 50 304 10.2 12.5  1.68  5.88  4.74 286 1013.6  18.7  23.3 999.0 99.0 99.00
2019 01 03 23 50 308 10.1 11.8  1.90  6.25  5.03 299 1014.1  18.5  23.3 999.0 99.0 99.00
2019 01 04 00 50 317  9.1 11.0  2.17  6.67  5.38 294 1014.6  18.8  23.2 999.0 99.0 99.00
2019 01 04 01 50 312  8.4 10.3  2.14  7.14  5.47 297 1015.4  18.7  23.1 999.0 99.0 99.00
2019 01 04 02 50 319  6.9  8.7  2.27  8.33  5.91 289 1015.9  18.5  23.1 999.0 99.0 99.00
2019 01 04 03 50 325  7.4  9.0  2.11  8.33  5.76 297 1015.7  18.5  23.0 999.0 99.0 99.00
2019 01 04 04 50 326  8.2 10.1  2.17  8.33  5.96 313 1016.2  18.4  22.9 999.0 99.0 99.00
2019 01 04 05 50 329  7.7  9.6  1.95  7.69  5.72 306 1016.5  18.0  22.9 999.0 99.0 99.00
2019 01 04 06 50 339  8.1  9.8  1.98  7.69  5.65 318 1016.2  17.9  22.8 999.0 99.0 99.00
2019 01 04 07 50 344  8.4  9.9  1.81  7.14  5.44 323 1016.4  18.0  22.8 999.0 99.0 99.00
2019 01 04 08 50 348  8.7 10.1  1.80  7.14  5.19 312 1016.7  18.1  22.8 999.0 99.0 99.00
2019 01 04 09 50 347  7.8  9.3  1.85  7.69  5.39 311 1016.6  18.5  22.7 999.0 99.0 99.00
2019 01 04 10 50 346  7.9  9.8  1.84  7.14  5.29 315 1016.6  18.5  22.7 999.0 99.0 99.00
2019 01 04 11 50 341  6.9  8.6  1.84  7.14  5.58 307 1016.8  18.4  22.7 999.0 99.0 99.00
2019 01 04 12 50 344  7.9  9.7  1.84  7.14  5.50 322 1017.5  18.8  22.8 999.0 99.0 99.00
2019 01 04 13 50 329  5.5  7.0  1.58  7.14  5.34 316 1018.5  19.0  22.8 999.0 99.0 99.00
2019 01 04 15 50 313  7.1  9.0  1.38  7.14  5.06 331 1019.8  19.4  22.7 999.0 99.0 99.00
