#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 12 31 23 50  46 10.5 12.4  1.69  5.56  4.48  52 1023.2  20.2  23.7 999.0 99.0 99.00
2014 01 01 00 50  45 11.0 12.5  1.74  5.88  4.56  48 1023.2  20.4  23.6 999.0 99.0 99.00
2014 01 01 01 50  42 11.7 13.5  1.75  5.88  4.54  37 1023.3  20.5  23.6 999.0 99.0 99.00
2014 01 01 02 50  40 11.4 12.8  1.83  6.67  4.70  87 1023.8  20.4  23.5 999.0 99.0 99.00
2014 01 01 03 50  41 12.3 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2014 01 01 04 50  46 11.9 14.0 99.00 99.00 99.00 999 1023.2  20.3  23.4 999.0 99.0 99.00
2014 01 01 05 50  41 12.6 15.3  2.15  6.67  4.60  63 1022.9  19.9  23.5 999.0 99.0 99.00
2014 01 01 06 50  40 12.3 14.9  2.38  6.25  4.94  44 1022.0  19.6  23.6 999.0 99.0 99.00
2014 01 01 07 50  67 11.6 13.3  2.11  6.25  5.06  43 1021.1  20.5  23.6 999.0 99.0 99.00
2014 01 01 08 50  72 11.2 13.2  2.22  7.14  5.11  82 1020.6  20.6  23.7 999.0 99.0 99.00
2014 01 01 09 50  83  9.7 11.2  2.03  7.14  5.32  81 1019.6  20.7  23.8 999.0 99.0 99.00
2014 01 01 10 50  89  9.1 10.3  2.22  7.14  5.49  82 1019.5  21.0  23.8 999.0 99.0 99.00
2014 01 01 11 50  74  8.5 10.3  2.28  9.09  5.61 114 1019.4  21.2  23.8 999.0 99.0 99.00
2014 01 01 12 50  76  8.6 10.2  2.22  7.69  5.70 108 1019.3  21.4  23.9 999.0 99.0 99.00
2014 01 01 13 50  76  9.2 10.7  2.25  9.09  5.52 111 1019.7  21.5  23.8 999.0 99.0 99.00
2014 01 01 14 50  74  8.7 10.2  2.14  8.33  5.57 109 1020.3  21.7  23.8 999.0 99.0 99.00
2014 01 01 15 50  81  8.6 10.1  2.15  8.33  5.64 111 1020.5  21.8  23.7 999.0 99.0 99.00
2014 01 01 16 50  81  9.7 11.9  2.31  8.33  5.84 105 1019.9  21.9  23.6 999.0 99.0 99.00
2014 01 01 17 50  86 10.8 12.1  2.28  9.09  5.71 107 1018.9  22.0  23.6 999.0 99.0 99.00
2014 01 01 18 50  88  9.4 10.7  2.14  8.33  5.65 107 1017.6  21.0  23.5 999.0 99.0 99.00
2014 01 01 19 50  82  8.2  9.8  2.06  7.69  5.71  97 1016.4  21.1  23.5 999.0 99.0 99.00
2014 01 01 20 50  78  7.7  8.9  2.07  8.33  5.80 108 1015.5  21.4  23.5 999.0 99.0 99.00
2014 01 01 21 50  89  8.2  9.5  1.93  8.33  5.70 103 1015.2  21.6  23.5 999.0 99.0 99.00
2014 01 01 22 50  82  7.9  9.3  2.14  8.33  5.92 102 1015.2  21.9  23.5 999.0 99.0 99.00
2014 01 01 23 50  82  7.5  8.6  2.05  8.33  6.02 104 1015.1  22.2  23.5 999.0 99.0 99.00
2014 01 02 00 50  79  7.8  9.1  2.06  8.33  5.98 102 1015.1  22.3  23.6 999.0 99.0 99.00
