#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 12 31 23 50  62  9.9 12.6  1.91  7.14  5.23  60 1021.7  20.8  22.8  16.4 99.0 99.00
2015 01 01 00 50  64  9.8 11.4  2.01  6.25  5.24  52 1022.0  20.8  22.8  16.2 99.0 99.00
2015 01 01 01 50  61 10.0 12.3  1.91  7.69  5.32  68 1022.4  20.8  22.8  16.3 99.0 99.00
2015 01 01 02 50  71  9.8 11.2  2.15  7.14  5.48  69 1022.9  20.8  22.8  16.3 99.0 99.00
2015 01 01 03 50  66  9.4 11.0  1.91  6.25  5.25  50 1022.7  20.9  22.8  16.8 99.0 99.00
2015 01 01 04 50  70 10.0 12.0  1.85  7.14  5.17  67 1022.1  21.0  22.8  17.0 99.0 99.00
2015 01 01 05 50  74 10.1 11.8  1.86  7.14  5.09  64 1021.5  21.2  22.8  17.3 99.0 99.00
2015 01 01 06 50  68 10.4 11.7  1.86  6.25  5.04  50 1020.7  21.2  22.9  17.8 99.0 99.00
2015 01 01 07 50  77  9.9 12.1  1.75  7.69  5.00  61 1020.1  21.4  22.9  18.3 99.0 99.00
2015 01 01 08 50  82 10.6 12.2  1.94  7.14  5.24  50 1019.3  21.6  22.9  18.8 99.0 99.00
2015 01 01 09 50  86  9.7 11.6  1.97  7.69  5.36  61 1019.3  21.9  22.9  19.2 99.0 99.00
2015 01 01 10 50  92  9.5 11.9  1.96  7.14  5.16  28 1019.2  22.0  22.9  19.5 99.0 99.00
2015 01 01 11 50  94  9.4 10.9  1.74  7.14  5.17  56 1019.0  22.1  22.9  19.7 99.0 99.00
2015 01 01 12 50  98  8.4  9.8  1.83  6.67  5.17  48 1019.7  22.3  22.9  20.0 99.0 99.00
2015 01 01 13 50 102  8.1  9.2  1.67  6.67  5.05  64 1019.8  22.5  22.9  20.3 99.0 99.00
2015 01 01 14 50 115  7.9  9.3  1.62  7.14  5.09  72 1020.2  22.7  22.9  20.6 99.0 99.00
2015 01 01 15 50 129  7.8  9.4  1.61  7.14  4.99  67 1020.5  23.1  22.9  20.1 99.0 99.00
2015 01 01 16 50 128  8.7 10.1  1.61  6.25  4.85  54 1020.0  23.1  22.9  20.3 99.0 99.00
2015 01 01 17 50 139  8.5  9.8  1.48  6.67  4.78  54 1019.1  23.2  22.9  20.5 99.0 99.00
2015 01 01 18 50 145  8.2  9.4  1.54  6.67  4.78  64 1017.7  23.3  23.0  20.7 99.0 99.00
