#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 12 31 23 50 141 10.2 11.8  1.78  6.25  4.86  92 1016.5  23.6  23.7 999.0 99.0 99.00
2013 01 01 00 50 136  9.7 11.4  1.73  5.88  4.87 140 1016.5  23.6  23.6 999.0 99.0 99.00
2013 01 01 01 50 135  9.0 10.2  1.74  5.88  4.99 134 1016.7  23.7  23.6 999.0 99.0 99.00
2013 01 01 02 50 141 10.0 11.6  1.60  6.25  4.80 125 1016.6  23.9  23.6 999.0 99.0 99.00
2013 01 01 03 50 145  8.9 10.7  1.67  5.88  4.73 136 1017.1  24.0  23.6 999.0 99.0 99.00
2013 01 01 04 50 143  9.4 11.1  1.58  6.25  4.75 124 1017.1  23.7  23.6 999.0 99.0 99.00
2013 01 01 05 50 140  9.5 11.4  1.58  5.88  4.76 130 1016.5  23.9  23.6 999.0 99.0 99.00
2013 01 01 06 50 143  9.4 10.6  1.64  5.88  4.64 120 1016.2  24.0  23.5 999.0 99.0 99.00
2013 01 01 07 50 148  8.8 10.3  1.57  5.88  4.63 124 1016.0  24.0  23.4 999.0 99.0 99.00
2013 01 01 08 50 158  7.0  8.5  1.56  6.25  4.71 111 1015.9  23.8  23.4 999.0 99.0 99.00
2013 01 01 09 50 155  8.0  9.5  1.45  5.88  4.69 142 1015.5  23.9  23.4 999.0 99.0 99.00
2013 01 01 10 50 154  8.1  9.2  1.53  6.67  4.67 111 1015.4  23.7  23.4 999.0 99.0 99.00
2013 01 01 11 50 157  7.3  8.7  1.31  5.56  4.63 143 1015.5  23.7  23.4 999.0 99.0 99.00
2013 01 01 12 50 159  6.8  8.0  1.41  5.88  4.70 142 1015.7  23.8  23.3 999.0 99.0 99.00
2013 01 01 13 50 161  6.9  8.2  1.49  5.56  4.80 146 1015.8  23.9  23.3 999.0 99.0 99.00
2013 01 01 20 50 178  5.5  6.3  1.15  6.25  4.91  99 1014.1  24.5  24.1 999.0 99.0 99.00
2013 01 01 21 50 173  4.8  5.5  1.14  5.56  4.74 154 1014.3  24.3  24.0 999.0 99.0 99.00
2013 01 01 22 50 168  4.2  4.8  1.10  5.88  4.95 121 1014.4  24.3  24.0 999.0 99.0 99.00
2013 01 01 23 50 175  3.2  3.9  1.11  5.56  5.03 136 1014.7  24.2  24.0 999.0 99.0 99.00
2013 01 02 00 50 179  2.9  3.3  1.13  6.25  5.06 118 1015.1  24.3  24.0 999.0 99.0 99.00
2013 01 02 01 50 176  2.9  3.4  1.21  6.25  5.26 131 1015.7  24.3  23.9 999.0 99.0 99.00
2013 01 02 02 50 170  2.8  3.4  1.12  5.56  5.18 130 1015.9  24.4  24.1 999.0 99.0 99.00
2013 01 02 03 50  19 10.7 12.6  1.23  6.25  5.37 112 1016.8  22.2  24.1 999.0 99.0 99.00
2013 01 02 04 50  29 10.5 12.7  1.49  4.35  4.74 999 1016.9  21.6  24.1 999.0 99.0 99.00
2013 01 02 05 50  28 10.4 12.4  1.79  5.26  5.01 358 1016.7  21.6  24.1 999.0 99.0 99.00
2013 01 02 06 50  23 10.9 13.0  1.82  5.56  5.11   9 1016.4  21.6  24.0 999.0 99.0 99.00
2013 01 02 07 50  31 10.1 11.6  2.58  6.67  6.04 355 1016.2  21.1  24.0 999.0 99.0 99.00
2013 01 02 08 50  32 10.9 12.7  2.67  8.33  6.34 345 1016.0  21.2  24.0 999.0 99.0 99.00
2013 01 02 09 50  35 11.0 13.4  2.49  9.09  6.14 351 1015.8  21.3  24.0 999.0 99.0 99.00
2013 01 02 10 50  39 11.4 13.2  2.55  8.33  6.31 358 1015.8  21.3  24.0 999.0 99.0 99.00
2013 01 02 11 50  35 11.4 13.0  2.85  8.33  6.33   1 1015.8  21.3  24.0 999.0 99.0 99.00
