#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 12 31 23 50 187  6.4  7.5  1.95  7.14  5.57 128 1011.4  24.5  24.7  22.7 99.0 99.00
2017 01 01 00 50 184  5.3  6.4  1.93  6.67  5.50 151 1012.0  24.6  24.8  22.7 99.0 99.00
2017 01 01 01 50 180  6.5  8.3  1.87  7.14  5.75 136 1012.2  24.7  25.0  22.6 99.0 99.00
2017 01 01 02 50 176  7.1  8.4  1.79  6.67  5.63 123 1012.3  24.9  25.0  22.4 99.0 99.00
2017 01 01 03 50 170  7.4  8.9  1.92  7.14  5.87 128 1012.3  24.6  24.9  22.5 99.0 99.00
2017 01 01 04 50 171  7.1  8.9  1.85  6.67  5.81 163 1012.2  24.5  24.7  22.6 99.0 99.00
2017 01 01 05 50 164  9.2 11.1  1.89  7.14  5.76 132 1011.4  24.7  24.6  22.4 99.0 99.00
2017 01 01 06 50 178  6.7  7.9  1.84  6.67  5.70 144 1012.0  24.6  24.4  22.5 99.0 99.00
2017 01 01 07 50 174  6.6  8.2  1.75  6.67  5.47 139 1011.8  24.5  24.2  22.5 99.0 99.00
2017 01 01 08 50 174  5.9  7.2  1.80  7.14  5.72 132 1011.7  24.6  23.9  22.5 99.0 99.00
2017 01 01 09 50 165  6.3  7.8  1.91  7.14  5.78 133 1011.4  24.4  23.8  22.4 99.0 99.00
2017 01 01 10 50 161  7.3  9.2  1.86  7.14  5.75 132 1011.6  24.4  23.8  22.6 99.0 99.00
2017 01 01 11 50 165  6.3  8.3  1.77  7.14  5.58 140 1012.2  24.3  23.7  22.5 99.0 99.00
2017 01 01 12 50 160  5.8  6.9  1.62  6.67  5.44 163 1013.1  24.4  23.7  22.5 99.0 99.00
2017 01 01 13 50 154  6.5  7.8  1.44  6.67  5.41 162 1013.5  24.5  23.7  22.5 99.0 99.00
2017 01 01 14 50 153  6.0  7.0  1.62  6.67  5.47 165 1014.0  24.3  23.7  22.1 99.0 99.00
2017 01 01 15 50 154  6.4  8.1  1.58  6.67  5.46 149 1014.5  24.9  23.8  22.6 99.0 99.00
2017 01 01 16 50 158  6.4  7.9  1.47  7.14  5.22 160 1014.3  24.8  23.8  22.6 99.0 99.00
2017 01 01 17 50 160  7.5  9.0  1.48  6.67  5.20 175 1013.5  25.0  23.9  22.7 99.0 99.00
2017 01 01 18 50 169  7.2  8.5  1.65  6.67  5.33 168 1012.7  24.9  23.9  22.7 99.0 99.00
2017 01 01 19 50 165  6.0  7.0  1.40  6.25  5.10 164 1012.1  24.9  23.9  22.7 99.0 99.00
2017 01 01 20 50 168  6.1  7.5  1.39  6.25  5.12 180 1011.7  25.1  24.0  22.7 99.0 99.00
2017 01 01 21 50 164  6.0  7.2  1.47  6.67  5.34 152 1011.8  25.0  24.0  22.8 99.0 99.00
2017 01 01 22 50 162  6.6  8.0  1.50  6.67  5.35 143 1011.8  24.8  23.9  23.1 99.0 99.00
2017 01 01 23 50 150  7.5  9.2  1.42  7.14  5.26 148 1011.3  24.8  23.9  23.2 99.0 99.00
2017 01 02 00 50 152  8.2 10.0  1.51  7.14  5.27 166 1011.5  24.7  23.9  22.9 99.0 99.00
2017 01 02 01 50 150 10.3 13.0  1.51  6.25  5.13 148 1011.2  24.8  23.8  22.4 99.0 99.00
2017 01 02 02 50 149 10.8 12.9  1.57  6.67  5.12 146 1011.0  24.7  23.8  22.2 99.0 99.00
2017 01 02 03 50 151  9.6 11.4  1.76  7.14  5.30 154 1011.7  24.7  23.8  22.1 99.0 99.00
2017 01 02 04 50 156  7.9  9.6  1.70  5.88  5.20 161 1012.2  24.7  23.8  22.1 99.0 99.00
2017 01 02 05 50 158  6.6  8.2  1.83  6.67  5.40 140 1012.1  24.7  23.8  22.3 99.0 99.00
2017 01 02 06 50 156  7.3  9.5  1.78  6.67  5.45 150 1011.7  24.6  23.8  22.3 99.0 99.00
2017 01 02 07 50 166  6.7  8.3  1.84  7.14  5.61 154 1011.7  24.6  23.8  22.3 99.0 99.00
2017 01 02 08 50 167  5.8  7.0  1.89  7.14  5.75 160 1011.3  24.6  23.8  22.6 99.0 99.00
2017 01 02 09 50 168  5.7  7.5  2.03  7.14  5.95 167 1011.2  24.6  23.8  22.8 99.0 99.00
2017 01 02 10 50 168  6.0  7.2  1.88  7.14  5.85 176 1011.1  24.6  23.8  23.0 99.0 99.00
2017 01 02 11 50 170  5.7  7.0  1.93  7.14  5.92 153 1011.4  24.7  23.8  23.0 99.0 99.00
2017 01 02 12 50 167  5.8  7.1  2.04  7.14  6.22 150 1011.5  24.7  23.8  23.1 99.0 99.00
2017 01 02 13 50 168  6.8  8.4  1.94  7.14  5.94 138 1012.0  24.8  23.8  23.3 99.0 99.00
