#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 03 02 50 999 11.2 13.3  3.00  9.09  6.21  52 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 03 03 50 999 12.0 14.3  2.98  8.33  6.29  45 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 03 04 50 999 11.9 14.1  2.75  9.09  5.97  54 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 03 05 50 999 10.6 12.7  2.83  8.33  6.15  55 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 03 06 50 999  9.5 11.7  2.92  9.09  6.24  59 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 03 07 50 999  9.9 11.8  2.83  9.09  6.25  56 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 03 08 50 999  9.2 11.1  2.53  7.69  5.99  46 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 03 09 50 999  8.7 10.6  2.48  9.09  6.04  60 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 03 10 50 999  9.7 11.6  2.72  9.09  6.44  68 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 03 11 50 999 10.0 11.8  2.34  8.33  6.15  58 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 03 12 50 999 11.2 13.4  2.37  9.09  6.21  74 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 03 13 50 999 11.1 13.7  2.70  8.33  6.30  71 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 03 14 50 999 12.1 15.5  2.56  9.09  6.04  68 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 03 15 50 999 11.0 13.6  2.71  8.33  6.23  52 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 03 16 50 999 11.6 14.0  2.94  7.69  6.27  60 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 03 17 50 999 10.9 13.4  2.79  9.09  6.29  56 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 03 18 50 999  9.7 11.0  2.93  7.69  6.39  71 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 03 19 50 999  9.5 11.7  2.73  8.33  6.24  55 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 03 20 50 999 10.0 12.2  2.58  8.33  6.12  59 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 03 21 50 999  8.9 11.3  2.49  8.33  5.88  68 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 03 22 50 999  8.0 10.7  2.20  8.33  5.59  69 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 03 23 50 999  8.5 10.4  2.27  8.33  5.82  59 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 00 50 999  8.3 10.2  2.24  8.33  5.80  65 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 01 50 999  7.3  9.0  2.24  7.69  5.68  57 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 02 50 999  7.9  9.7  2.05  7.69  5.43  60 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 03 50 999  8.3 11.2  1.89  7.69  5.43  59 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 04 50 999  7.9 10.8  1.77  5.88  5.34 360 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 05 50 999  8.7 11.2  1.88  7.69  5.39  71 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 06 50 999  8.7 11.0  1.83  7.69  5.36  71 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 07 50 999  8.6 10.9  1.85  7.14  5.20  52 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 08 50 999  8.6 10.7  1.78  5.88  5.17  28 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 09 50 999  7.8  9.4  1.70  7.69  5.23  63 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 10 50 999  7.7  9.5  1.65  7.69  5.26  62 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 11 50 999  8.5 10.5  1.66  7.14  5.19  65 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 12 50 999  8.7 10.9  1.61  6.25  5.26  22 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 13 50 999  7.2  9.8  1.44  7.14  4.96  52 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 14 50 999  6.7  9.4  1.54  5.56  5.13   3 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 15 50 999  6.3  8.2  1.58  7.14  5.35  68 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 16 50 999  6.5  8.3  1.43  6.67  5.24  50 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 17 50 999  6.1  8.0  1.45  7.69  5.27  73 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 18 50 999  6.2  8.3  1.42  6.67  5.22  58 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 19 50 999  6.6  8.3  1.32  7.14  4.97  64 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 20 50 999  6.9  9.1  1.36  6.67  5.06  56 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 21 50 999  7.7  9.6  1.28  6.67  4.93  55 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 22 50 999  7.0  8.8  1.37  7.14  4.89  76 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 04 23 50 999  7.4  9.5  1.27  5.56  4.76  24 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 05 00 50 999  7.7 10.5  1.35  6.67  4.66  61 9999.0 999.0 999.0 999.0 99.0 99.00
