date,High,Low,Close,Adj Close,OT
1996-12-23,3.22557,2.946687,3.223816,3.042861,3.011585
1996-12-24,3.385183,3.115069,3.279944,3.095838,3.244864
1996-12-25,3.60443,3.202769,3.60443,3.40211,3.244864
1996-12-26,3.783336,3.509715,3.683359,3.476609,3.63074
1996-12-27,3.823678,3.614954,3.718439,3.50972,3.799122
1996-12-30,4.090283,3.683359,4.069235,3.840826,3.718439
1996-12-31,4.034155,3.806138,3.858757,3.642162,4.034155
1997-01-01,4.034155,3.806138,3.858757,3.642162,4.034155
1997-01-02,3.972766,3.797368,3.858757,3.642162,3.925409
1997-01-03,3.893837,3.665819,3.823678,3.609052,3.893837
1997-01-06,3.979782,3.685113,3.874543,3.657062,3.821924
1997-01-07,4.069235,3.753519,4.013108,3.787849,3.858757
1997-01-08,4.306022,3.963996,4.244633,4.006378,4.013108
1997-01-09,4.284975,4.174474,4.262173,4.022934,4.284975
1997-01-10,4.270943,4.165704,4.255157,4.016313,4.209554
1997-01-13,4.384952,4.209554,4.283221,4.0428,4.258665
1997-01-14,4.276205,4.156934,4.239371,4.001412,4.276205
1997-01-15,4.297253,4.209554,4.262173,4.022934,4.209554
1997-01-16,4.297253,4.188506,4.279713,4.039489,4.262173
1997-01-17,4.297253,4.213061,4.262173,4.022934,4.276205
1997-01-20,4.486682,4.258665,4.365658,4.12061,4.258665
1997-01-21,4.398983,4.209554,4.209554,3.973269,4.349872
1997-01-22,4.470897,4.227093,4.455111,4.205041,4.227093
1997-01-23,4.735748,4.486682,4.72347,4.458338,4.486682
1997-01-24,4.814677,4.562104,4.709438,4.445094,4.726978
1997-01-27,4.726978,4.616477,4.676112,4.413639,4.648049
1997-01-28,4.700668,4.53404,4.55158,4.296096,4.676112
1997-01-29,4.54281,4.411261,4.486682,4.234841,4.472651
1997-01-30,4.56035,4.420031,4.434063,4.185175,4.420031
1997-01-31,4.434063,4.434063,4.434063,4.185175,4.434063
1997-02-03,4.434063,4.434063,4.434063,4.185175,4.434063
1997-02-04,4.434063,4.434063,4.434063,4.185175,4.434063
1997-02-05,4.434063,4.434063,4.434063,4.185175,4.434063
1997-02-06,4.434063,4.434063,4.434063,4.185175,4.434063
1997-02-07,4.434063,4.434063,4.434063,4.185175,4.434063
1997-02-10,4.434063,4.434063,4.434063,4.185175,4.434063
1997-02-11,4.434063,4.434063,4.434063,4.185175,4.434063
1997-02-12,4.434063,4.434063,4.434063,4.185175,4.434063
1997-02-13,4.434063,4.434063,4.434063,4.185175,4.434063
1997-02-14,4.434063,4.434063,4.434063,4.185175,4.434063
1997-02-17,4.648049,4.358642,4.648049,4.38715,4.574382
1997-02-18,4.612969,4.174474,4.612969,4.354039,4.612969
1997-02-19,4.553334,4.223585,4.528778,4.274574,4.349872
1997-02-20,4.402491,4.076251,4.398983,4.152064,4.076251
1997-02-21,4.472651,4.237617,4.418277,4.170275,4.237617
1997-02-24,4.469143,4.209554,4.381444,4.13551,4.428801
1997-02-25,4.56035,4.342856,4.463881,4.21332,4.402491
1997-02-26,4.535794,4.407753,4.472651,4.221598,4.52527
1997-02-27,4.5165,4.423539,4.467389,4.21663,4.5165
1997-02-28,4.504222,4.395475,4.472651,4.221598,4.472651
1997-03-03,4.472651,4.472651,4.472651,4.221598,4.472651
1997-03-04,4.735748,4.49019,4.634017,4.373906,4.52527
1997-03-05,4.814677,4.639279,4.735748,4.469926,4.639279
1997-03-06,4.779597,4.683128,4.74978,4.483171,4.744518
1997-03-07,4.823447,4.691898,4.709438,4.445094,4.74978
1997-03-10,5.010421,4.729433,4.748376,4.481846,4.735748
1997-03-11,5.221951,4.767319,5.221951,4.928838,4.773634
1997-03-12,5.572397,5.076722,5.553454,5.241735,5.329295
1997-03-13,5.840756,5.382967,5.63554,5.319212,5.493468
1997-03-14,5.777612,5.502939,5.739726,5.41755,5.585025
1997-03-17,6.143844,5.777612,5.941785,5.608268,5.840756
1997-03-18,5.995457,5.746041,5.872327,5.542707,5.872327
1997-03-19,5.872327,5.619754,5.746041,5.423512,5.872327
1997-03-20,5.9923,5.667112,5.872327,5.542707,5.777612
1997-03-21,6.45956,5.809184,6.254344,5.903283,5.872327
1997-03-24,6.434303,6.118586,6.156472,5.810905,6.320645
1997-03-25,6.188044,5.903899,6.188044,5.840704,6.124901
1997-03-26,6.213301,5.998614,6.121743,5.778125,6.140686
1997-03-27,6.061757,5.960728,6.011243,5.673827,6.030186
1997-03-28,6.251187,5.935471,6.0365,5.697666,5.948099
1997-03-31,6.169101,5.960728,6.128058,5.784085,6.169101
1997-04-01,6.740548,6.188044,6.708976,6.332396,6.636361
1997-04-02,6.756334,6.497446,6.516389,6.150619,6.630047
1997-04-03,6.768962,6.50376,6.762648,6.383055,6.630047
1997-04-04,7.150979,6.633204,7.040479,6.645292,6.857363
1997-04-07,7.26148,7.008907,7.068893,6.67211,7.07205
1997-04-08,7.166765,6.740548,6.885777,6.499273,7.160451
1997-04-09,7.002593,6.787905,6.914192,6.526093,6.885777
1997-04-10,6.993121,6.803691,6.819477,6.436695,6.977335
1997-04-11,6.819477,6.570061,6.658462,6.284718,6.819477
1997-04-14,6.77212,6.62689,6.67109,6.296637,6.718448
1997-04-15,7.008907,6.67109,6.844734,6.460534,6.680562
1997-04-16,6.993121,6.77212,6.81632,6.433714,6.933135
1997-04-17,6.939449,6.708976,6.787905,6.406895,6.775277
1997-04-18,6.835263,6.708976,6.778434,6.397955,6.787905
1997-04-21,6.866835,6.598475,6.724762,6.347296,6.863677
1997-04-22,6.942606,6.753177,6.825791,6.442653,6.942606
1997-04-23,7.210966,6.787905,7.100465,6.70191,7.008907
1997-04-24,7.419338,6.879463,7.293052,6.883687,7.135194
1997-04-25,7.403553,6.787905,7.324624,6.913487,7.353038
1997-04-28,8.050772,7.365667,7.952899,7.506496,7.368824
1997-04-29,8.524346,7.356195,7.577197,7.151882,8.202316
1997-04-30,8.0192,7.356195,7.731898,7.297901,7.514053
1997-05-01,8.0192,7.356195,7.731898,7.297901,7.514053
1997-05-02,8.0192,7.356195,7.731898,7.297901,7.514053
1997-05-05,7.987628,7.671912,7.788727,7.351539,7.892913
1997-05-06,8.107601,7.766627,7.987628,7.539277,7.82977
1997-05-07,8.350702,7.861342,8.038143,7.586955,8.050772
1997-05-08,8.39806,7.82977,7.908699,7.464777,8.050772
1997-05-09,7.908699,7.908699,7.908699,7.464777,7.908699
1997-05-12,8.492775,8.050772,8.20863,7.747872,8.445417
1997-05-13,8.271773,7.892913,7.962371,7.515436,8.20863
1997-05-14,8.366488,7.924485,8.066557,7.613774,8.20863
1997-05-15,8.20863,7.82977,8.177058,7.718074,8.050772
1997-05-16,8.050772,7.362509,7.362509,6.949245,7.735055
1997-05-19,7.64034,7.008907,7.245694,6.838988,7.26148
1997-05-20,6.421674,6.224667,6.326959,5.971822,6.383788
1997-05-21,6.383788,5.910213,6.023871,5.685747,6.326959
1997-05-22,5.663954,5.421484,5.421484,5.117172,5.421484
1997-05-23,5.531353,4.906235,5.368444,5.067109,5.114608
1997-05-26,5.493468,5.182802,5.451793,5.14578,5.37981
1997-05-27,5.834441,5.463159,5.751092,5.428278,5.493468
1997-05-28,5.940522,5.645011,5.78519,5.460463,5.739726
1997-05-29,5.796555,5.682897,5.728361,5.406824,5.720783
1997-05-30,5.834441,5.645011,5.777612,5.45331,5.682897
1997-06-02,6.145106,5.872327,6.099643,5.757265,5.872327
1997-06-03,6.319382,6.061757,6.118586,5.775145,6.175415
1997-06-04,6.232244,6.061757,6.10722,5.764418,6.156472
1997-06-05,6.141318,6.023871,6.061757,5.721506,6.137529
1997-06-06,5.872327,5.45937,5.641223,5.324576,5.466947
1997-06-09,5.682897,5.474525,5.607125,5.292392,5.645011
1997-06-10,5.626068,5.398753,5.421484,5.117172,5.531353
1997-06-11,5.455582,4.925178,5.095665,4.809642,5.417696
1997-06-12,5.455582,5.114608,5.285095,4.988438,5.114608
1997-06-13,5.451793,4.944121,5.448004,5.142203,4.959275
1997-06-16,5.67532,5.531353,5.667743,5.349608,5.569239
1997-06-17,5.758669,5.531353,5.550296,5.238753,5.645011
1997-06-18,5.626068,5.26994,5.349501,5.04923,5.550296
1997-06-19,5.436639,5.304038,5.364655,5.063533,5.341924
1997-06-20,5.70184,5.364655,5.656377,5.33888,5.364655
1997-06-23,5.879905,5.455582,5.516199,5.20657,5.758669
1997-06-24,5.645011,5.493468,5.626068,5.310273,5.607125
1997-06-25,5.796555,5.569239,5.660166,5.342457,5.633646
1997-06-26,5.656377,5.588182,5.626068,5.310273,5.656377
1997-06-27,5.682897,5.474525,5.482102,5.174387,5.633646
1997-06-30,5.682897,5.474525,5.482102,5.174387,5.633646
1997-07-01,5.682897,5.474525,5.482102,5.174387,5.633646
1997-07-02,5.607125,5.00095,5.304038,5.006318,5.493468
1997-07-03,5.304038,5.042624,5.076722,4.791762,5.228266
1997-07-04,5.057779,4.735748,4.970641,4.691636,4.925178
1997-07-07,5.038836,4.474334,4.474334,4.223185,4.963064
1997-07-08,4.546318,4.129572,4.394774,4.148092,4.360677
1997-07-09,4.659976,4.205344,4.62209,4.362648,4.470546
1997-07-10,5.084299,4.546318,4.849406,4.577204,4.62209
1997-07-11,5.334346,4.569049,5.334346,5.034925,4.735748
1997-07-14,5.826864,5.425273,5.62228,5.306697,5.48589
1997-07-15,5.804133,5.37981,5.663954,5.346031,5.580605
1997-07-16,5.751092,5.493468,5.569239,5.256632,5.682897
1997-07-17,5.720783,5.455582,5.641223,5.324576,5.588182
1997-07-18,6.061757,5.531353,5.997351,5.660715,5.607125
1997-07-21,6.357268,6.023871,6.092066,5.750113,6.156472
1997-07-22,6.353479,5.804133,6.167838,5.821632,6.353479
1997-07-23,6.308016,5.682897,6.02766,5.689322,6.247399
1997-07-24,6.251187,5.70184,5.743515,5.421127,5.910213
1997-07-25,5.978408,5.213111,5.834441,5.50695,5.686686
1997-07-28,5.815498,5.37981,5.463159,5.156508,5.804133
1997-07-29,5.758669,5.235843,5.599548,5.285241,5.304038
1997-07-30,5.910213,5.59576,5.773824,5.449735,5.603337
1997-07-31,5.910213,5.599548,5.637434,5.321,5.815498
1997-08-01,5.751092,5.493468,5.516199,5.20657,5.607125
1997-08-04,5.629857,5.364655,5.62228,5.306697,5.531353
1997-08-05,5.663954,5.038836,5.603337,5.288817,5.645011
1997-08-06,5.739726,5.451793,5.626068,5.310273,5.607125
1997-08-07,5.667743,5.48589,5.656377,5.33888,5.565451
1997-08-08,5.720783,5.493468,5.535142,5.224451,5.694263
1997-08-11,5.626068,5.307826,5.338135,5.0385,5.493468
1997-08-12,5.527565,5.114608,5.144916,4.856128,5.304038
1997-08-13,5.175225,4.735748,4.773634,4.505686,5.114608
1997-08-14,4.830463,4.678919,4.822886,4.552173,4.697862
1997-08-15,5.152494,4.81152,4.906235,4.630844,4.925178
1997-08-18,4.697862,4.470546,4.546318,4.291129,4.546318
1997-08-19,4.565261,4.451603,4.534952,4.280402,4.542529
1997-08-20,4.641033,4.527375,4.610724,4.351921,4.538741
1997-08-21,4.773634,4.62209,4.743325,4.477079,4.637244
1997-08-22,4.826674,4.584204,4.747114,4.480655,4.697862
1997-08-25,4.925178,4.614513,4.845617,4.573628,4.735748
1997-08-26,4.925178,4.773634,4.826674,4.555749,4.921389
1997-08-27,4.830463,4.659976,4.731959,4.466351,4.659976
1997-08-28,4.841829,4.716805,4.773634,4.505686,4.758479
1997-08-29,4.868349,4.735748,4.845617,4.573628,4.803943
1997-09-01,5.00095,4.81152,4.849406,4.577204,4.856983
1997-09-02,4.925178,4.81152,4.860772,4.587933,4.86456
1997-09-03,4.982007,4.849406,4.910023,4.63442,4.906235
1997-09-04,5.057779,4.887292,5.023681,4.741697,4.963064
1997-09-05,5.00095,4.894869,4.932755,4.655877,5.00095
1997-09-08,4.925178,4.792577,4.841829,4.570054,4.925178
1997-09-09,4.906235,4.735748,4.796365,4.527141,4.868349
1997-09-10,4.906235,4.735748,4.792577,4.523565,4.766057
1997-09-11,4.849406,4.735748,4.777422,4.509262,4.792577
1997-09-12,4.792577,4.62209,4.656187,4.394831,4.773634
1997-09-15,4.603147,4.470546,4.470546,4.21961,4.599358
1997-09-16,4.534952,4.474334,4.508432,4.25537,4.474334
1997-09-17,4.489489,4.413717,4.425083,4.1767,4.489489
1997-09-18,4.508432,4.43266,4.45918,4.208881,4.451603
1997-09-19,4.546318,4.470546,4.519798,4.266098,4.470546
1997-09-22,4.527375,4.087897,4.110629,3.879896,4.527375
1997-09-23,4.091686,3.712826,3.739346,3.529453,4.091686
1997-09-24,4.114418,3.614323,4.099263,3.869169,3.739346
1997-09-25,4.205344,4.0538,4.125783,3.894199,4.156092
1997-09-26,4.121995,3.970451,4.015914,3.790498,4.008337
1997-09-29,3.978028,3.826484,3.883313,3.665339,3.970451
1997-09-30,3.947719,3.894679,3.902256,3.68322,3.940142
1997-10-01,3.947719,3.894679,3.902256,3.68322,3.940142
1997-10-02,3.947719,3.894679,3.902256,3.68322,3.940142
1997-10-03,3.947719,3.894679,3.902256,3.68322,3.940142
1997-10-06,3.924988,3.807541,3.860581,3.643883,3.921199
1997-10-07,3.902256,3.807541,3.845427,3.62958,3.86437
1997-10-08,4.0538,3.883313,4.008337,3.783346,3.894679
1997-10-09,4.262173,3.985605,4.129572,3.897775,4.015914
1997-10-10,4.148515,4.0538,4.129572,3.897775,4.144726
1997-10-13,4.129572,4.015914,4.038646,3.811953,4.129572
1997-10-14,4.034857,3.959085,4.012125,3.786921,4.015914
1997-10-15,4.087897,3.959085,4.034857,3.808377,3.959085
1997-10-16,4.315213,4.0538,4.284905,4.04439,4.167458
1997-10-17,4.713016,4.315213,4.64861,4.38768,4.315213
1997-10-20,4.747114,4.584204,4.67513,4.41271,4.713016
1997-10-21,4.925178,4.546318,4.898658,4.623693,4.697862
1997-10-22,4.963064,4.614513,4.633456,4.373376,4.910023
1997-10-23,4.841829,4.356888,4.694073,4.430591,4.62209
1997-10-24,4.826674,4.576627,4.803943,4.534294,4.659976
1997-10-27,5.038836,4.849406,4.917601,4.641572,4.887292
1997-10-28,5.019893,4.62209,4.830463,4.559325,4.849406
1997-10-29,4.925178,4.62209,4.883503,4.609388,4.731959
1997-10-30,5.372232,4.963064,5.099453,4.813216,4.963064
1997-10-31,5.133551,4.856983,5.038836,4.756001,5.019893
1997-11-03,5.228266,4.993372,5.19038,4.899039,5.038836
1997-11-04,5.417696,5.148705,5.19038,4.899039,5.232054
1997-11-05,5.300249,5.144916,5.209323,4.916919,5.209323
1997-11-06,5.266152,5.042624,5.061567,4.777457,5.228266
1997-11-07,5.114608,4.936544,5.091876,4.806065,4.936544
1997-11-10,5.304038,4.925178,5.031258,4.748849,5.091876
1997-11-11,5.110819,4.762268,4.970641,4.691636,5.038836
1997-11-12,5.035047,4.849406,4.860772,4.587933,4.910023
1997-11-13,5.031258,4.773634,4.963064,4.684483,4.777422
1997-11-14,5.171437,4.963064,5.076722,4.791762,5.00095
1997-11-17,5.182802,4.966852,5.019893,4.738123,5.152494
1997-11-18,5.099453,5.00095,5.012315,4.730969,5.042624
1997-11-19,5.035047,4.887292,4.921389,4.645147,5.012315
1997-11-20,4.906235,4.773634,4.773634,4.505686,4.887292
1997-11-21,4.902446,4.603147,4.845617,4.573628,4.754691
1997-11-24,4.773634,4.62209,4.644821,4.384103,4.62209
1997-11-25,4.773634,4.553895,4.754691,4.487807,4.606935
1997-11-26,4.830463,4.663764,4.777422,4.509262,4.830463
