Date,High,Low,Close,Adj Close,Volume,OT
1996-12-23,3.22557,2.946687,3.223816,3.042861,17233369,3.011585
1996-12-24,3.385183,3.115069,3.279944,3.095838,27700986,3.244864
1996-12-25,3.60443,3.202769,3.60443,3.40211,19979123,3.244864
1996-12-26,3.783336,3.509715,3.683359,3.476609,11354742,3.63074
1996-12-27,3.823678,3.614954,3.718439,3.50972,13853629,3.799122
1996-12-30,4.090283,3.683359,4.069235,3.840826,19149582,3.718439
1996-12-31,4.034155,3.806138,3.858757,3.642162,6377492,4.034155
1997-01-01,4.034155,3.806138,3.858757,3.642162,0,4.034155
1997-01-02,3.972766,3.797368,3.858757,3.642162,5202280,3.925409
1997-01-03,3.893837,3.665819,3.823678,3.609052,8445320,3.893837
1997-01-06,3.979782,3.685113,3.874543,3.657062,13525752,3.821924
1997-01-07,4.069235,3.753519,4.013108,3.787849,14387158,3.858757
1997-01-08,4.306022,3.963996,4.244633,4.006378,20781509,4.013108
1997-01-09,4.284975,4.174474,4.262173,4.022934,10174518,4.284975
1997-01-10,4.270943,4.165704,4.255157,4.016313,3365487,4.209554
1997-01-13,4.384952,4.209554,4.283221,4.0428,11325978,4.258665
1997-01-14,4.276205,4.156934,4.239371,4.001412,6166059,4.276205
1997-01-15,4.297253,4.209554,4.262173,4.022934,3249066,4.209554
1997-01-16,4.297253,4.188506,4.279713,4.039489,3503202,4.262173
1997-01-17,4.297253,4.213061,4.262173,4.022934,2986891,4.276205
1997-01-20,4.486682,4.258665,4.365658,4.12061,3837727,4.258665
1997-01-21,4.398983,4.209554,4.209554,3.973269,3271187,4.349872
1997-01-22,4.470897,4.227093,4.455111,4.205041,22471505,4.227093
1997-01-23,4.735748,4.486682,4.72347,4.458338,15657594,4.486682
1997-01-24,4.814677,4.562104,4.709438,4.445094,5134708,4.726978
1997-01-27,4.726978,4.616477,4.676112,4.413639,1380397,4.648049
1997-01-28,4.700668,4.53404,4.55158,4.296096,1703239,4.676112
1997-01-29,4.54281,4.411261,4.486682,4.234841,4370287,4.472651
1997-01-30,4.56035,4.420031,4.434063,4.185175,4674053,4.420031
1997-01-31,4.434063,4.434063,4.434063,4.185175,0,4.434063
1997-02-03,4.434063,4.434063,4.434063,4.185175,0,4.434063
1997-02-04,4.434063,4.434063,4.434063,4.185175,0,4.434063
1997-02-05,4.434063,4.434063,4.434063,4.185175,0,4.434063
1997-02-06,4.434063,4.434063,4.434063,4.185175,0,4.434063
1997-02-07,4.434063,4.434063,4.434063,4.185175,0,4.434063
1997-02-10,4.434063,4.434063,4.434063,4.185175,0,4.434063
1997-02-11,4.434063,4.434063,4.434063,4.185175,0,4.434063
1997-02-12,4.434063,4.434063,4.434063,4.185175,0,4.434063
1997-02-13,4.434063,4.434063,4.434063,4.185175,0,4.434063
1997-02-14,4.434063,4.434063,4.434063,4.185175,0,4.434063
1997-02-17,4.648049,4.358642,4.648049,4.38715,17683089,4.574382
1997-02-18,4.612969,4.174474,4.612969,4.354039,4641789,4.612969
1997-02-19,4.553334,4.223585,4.528778,4.274574,4513680,4.349872
1997-02-20,4.402491,4.076251,4.398983,4.152064,10538723,4.076251
1997-02-21,4.472651,4.237617,4.418277,4.170275,4199760,4.237617
1997-02-24,4.469143,4.209554,4.381444,4.13551,3481902,4.428801
1997-02-25,4.56035,4.342856,4.463881,4.21332,4923885,4.402491
1997-02-26,4.535794,4.407753,4.472651,4.221598,3028932,4.52527
1997-02-27,4.5165,4.423539,4.467389,4.21663,1326411,4.5165
1997-02-28,4.504222,4.395475,4.472651,4.221598,1892837,4.472651
1997-03-03,4.472651,4.472651,4.472651,4.221598,0,4.472651
1997-03-04,4.735748,4.49019,4.634017,4.373906,6063601,4.52527
1997-03-05,4.814677,4.639279,4.735748,4.469926,10387040,4.639279
1997-03-06,4.779597,4.683128,4.74978,4.483171,5889288,4.744518
1997-03-07,4.823447,4.691898,4.709438,4.445094,4043772,4.74978
1997-03-10,5.010421,4.729433,4.748376,4.481846,6144498,4.735748
1997-03-11,5.221951,4.767319,5.221951,4.928838,7959725,4.773634
1997-03-12,5.572397,5.076722,5.553454,5.241735,21932863,5.329295
1997-03-13,5.840756,5.382967,5.63554,5.319212,11749529,5.493468
1997-03-14,5.777612,5.502939,5.739726,5.41755,9622583,5.585025
1997-03-17,6.143844,5.777612,5.941785,5.608268,13560803,5.840756
1997-03-18,5.995457,5.746041,5.872327,5.542707,6428177,5.872327
1997-03-19,5.872327,5.619754,5.746041,5.423512,3805172,5.872327
1997-03-20,5.9923,5.667112,5.872327,5.542707,8074945,5.777612
1997-03-21,6.45956,5.809184,6.254344,5.903283,12609088,5.872327
1997-03-24,6.434303,6.118586,6.156472,5.810905,4980999,6.320645
1997-03-25,6.188044,5.903899,6.188044,5.840704,4240088,6.124901
1997-03-26,6.213301,5.998614,6.121743,5.778125,4126676,6.140686
1997-03-27,6.061757,5.960728,6.011243,5.673827,3765393,6.030186
1997-03-28,6.251187,5.935471,6.0365,5.697666,3957980,5.948099
1997-03-31,6.169101,5.960728,6.128058,5.784085,4146285,6.169101
1997-04-01,6.740548,6.188044,6.708976,6.332396,11067322,6.636361
1997-04-02,6.756334,6.497446,6.516389,6.150619,4219398,6.630047
1997-04-03,6.768962,6.50376,6.762648,6.383055,6071208,6.630047
1997-04-04,7.150979,6.633204,7.040479,6.645292,7518766,6.857363
1997-04-07,7.26148,7.008907,7.068893,6.67211,6929880,7.07205
1997-04-08,7.166765,6.740548,6.885777,6.499273,5748406,7.160451
1997-04-09,7.002593,6.787905,6.914192,6.526093,3877243,6.885777
1997-04-10,6.993121,6.803691,6.819477,6.436695,3048683,6.977335
1997-04-11,6.819477,6.570061,6.658462,6.284718,2795336,6.819477
1997-04-14,6.77212,6.62689,6.67109,6.296637,2998648,6.718448
1997-04-15,7.008907,6.67109,6.844734,6.460534,3523359,6.680562
1997-04-16,6.993121,6.77212,6.81632,6.433714,3067409,6.933135
1997-04-17,6.939449,6.708976,6.787905,6.406895,2373036,6.775277
1997-04-18,6.835263,6.708976,6.778434,6.397955,1802034,6.787905
1997-04-21,6.866835,6.598475,6.724762,6.347296,5850532,6.863677
1997-04-22,6.942606,6.753177,6.825791,6.442653,5809685,6.942606
1997-04-23,7.210966,6.787905,7.100465,6.70191,8591212,7.008907
1997-04-24,7.419338,6.879463,7.293052,6.883687,10736956,7.135194
1997-04-25,7.403553,6.787905,7.324624,6.913487,21246431,7.353038
1997-04-28,8.050772,7.365667,7.952899,7.506496,15239942,7.368824
1997-04-29,8.524346,7.356195,7.577197,7.151882,14077231,8.202316
1997-04-30,8.0192,7.356195,7.731898,7.297901,9198767,7.514053
1997-05-01,8.0192,7.356195,7.731898,7.297901,0,7.514053
1997-05-02,8.0192,7.356195,7.731898,7.297901,0,7.514053
1997-05-05,7.987628,7.671912,7.788727,7.351539,12761750,7.892913
1997-05-06,8.107601,7.766627,7.987628,7.539277,13352188,7.82977
1997-05-07,8.350702,7.861342,8.038143,7.586955,13735900,8.050772
1997-05-08,8.39806,7.82977,7.908699,7.464777,11028854,8.050772
1997-05-09,7.908699,7.908699,7.908699,7.464777,0,7.908699
1997-05-12,8.492775,8.050772,8.20863,7.747872,8443371,8.445417
1997-05-13,8.271773,7.892913,7.962371,7.515436,3145438,8.20863
1997-05-14,8.366488,7.924485,8.066557,7.613774,8502595,8.20863
1997-05-15,8.20863,7.82977,8.177058,7.718074,3642979,8.050772
1997-05-16,8.050772,7.362509,7.362509,6.949245,4017781,7.735055
1997-05-19,7.64034,7.008907,7.245694,6.838988,3233508,7.26148
1997-05-20,6.421674,6.224667,6.326959,5.971822,2344845,6.383788
1997-05-21,6.383788,5.910213,6.023871,5.685747,1700565,6.326959
1997-05-22,5.663954,5.421484,5.421484,5.117172,2828138,5.421484
1997-05-23,5.531353,4.906235,5.368444,5.067109,3692594,5.114608
1997-05-26,5.493468,5.182802,5.451793,5.14578,3432604,5.37981
1997-05-27,5.834441,5.463159,5.751092,5.428278,3091641,5.493468
1997-05-28,5.940522,5.645011,5.78519,5.460463,2730524,5.739726
1997-05-29,5.796555,5.682897,5.728361,5.406824,1594964,5.720783
1997-05-30,5.834441,5.645011,5.777612,5.45331,1845571,5.682897
1997-06-02,6.145106,5.872327,6.099643,5.757265,2859999,5.872327
1997-06-03,6.319382,6.061757,6.118586,5.775145,2880864,6.175415
1997-06-04,6.232244,6.061757,6.10722,5.764418,2638508,6.156472
1997-06-05,6.141318,6.023871,6.061757,5.721506,2248285,6.137529
1997-06-06,5.872327,5.45937,5.641223,5.324576,3555282,5.466947
