date,Open,High,Low,Close,Adj Close,Volume
2001-01-30,5.910213,6.092066,5.910213,6.042814,5.746317,0
2001-01-31,5.910213,6.092066,5.910213,6.042814,5.746317,0
2001-02-01,5.910213,6.092066,5.910213,6.042814,5.746317,0
2001-02-02,5.910213,6.092066,5.910213,6.042814,5.746317,0
2001-02-05,6.061757,6.061757,5.724572,5.758669,5.476115,2312200
2001-02-06,5.720783,5.788978,5.550296,5.758669,5.476115,2327076
2001-02-07,5.754881,5.754881,5.588182,5.645011,5.368034,892224
2001-02-08,5.6488,5.732149,5.37981,5.463159,5.195104,1705865
2001-02-09,5.455582,5.667743,5.455582,5.576817,5.303185,1337708
2001-02-12,5.607125,5.67532,5.508622,5.645011,5.368034,896832
2001-02-13,5.645011,5.788978,5.618491,5.679109,5.400458,831584
2001-02-14,5.645011,5.716995,5.607125,5.610914,5.335609,635168
2001-02-15,5.618491,5.686686,5.588182,5.614703,5.339213,474196
2001-02-16,5.607125,5.645011,5.455582,5.637434,5.360828,1084245
2001-02-19,5.637434,5.751092,5.588182,5.732149,5.450897,716370
2001-02-20,5.739726,5.834441,5.637434,5.652589,5.37524,935438
2001-02-21,5.652589,5.652589,5.444216,5.493468,5.223926,2038247
2001-02-22,5.455582,5.565451,5.455582,5.523776,5.252748,846402
2001-02-23,5.569239,5.607125,5.493468,5.588182,5.313993,739711
2001-02-26,5.626068,5.694263,5.531353,5.682897,5.40406,1165591
2001-02-27,5.698052,5.743515,5.645011,5.720783,5.440088,875305
2001-02-28,5.724572,5.743515,5.626068,5.645011,5.368034,687589
2001-03-01,5.645011,5.67532,5.610914,5.629857,5.353623,619067
2001-03-02,5.626068,5.751092,5.626068,5.709418,5.42928,1035293
2001-03-05,5.770035,5.770035,5.682897,5.686686,5.407664,699477
2001-03-06,5.682897,5.682897,5.629857,5.667743,5.38965,562416
2001-03-07,5.67532,5.694263,5.637434,5.637434,5.360828,975492
2001-03-08,5.743515,5.887482,5.663954,5.872327,5.584196,2385763
2001-03-09,5.872327,5.921579,5.834441,5.842019,5.555374,1443172
2001-03-12,5.872327,6.023871,5.853384,5.902636,5.613018,1874363
2001-03-13,5.982197,5.982197,5.834441,5.857173,5.569786,1479417
2001-03-14,5.857173,5.89127,5.834441,5.883693,5.595004,1109272
2001-03-15,5.86475,5.910213,5.758669,5.781401,5.497731,1283770
2001-03-16,5.78519,5.89127,5.78519,5.86475,5.57699,985179
2001-03-19,5.853384,5.872327,5.777612,5.853384,5.566183,1154756
2001-03-20,5.872327,5.985985,5.86475,5.959465,5.667058,1583097
2001-03-21,5.989774,6.118586,5.959465,6.057969,5.760729,3939002
2001-03-22,6.061757,6.156472,6.020083,6.05418,5.757126,2511213
2001-03-23,6.05418,6.092066,5.853384,5.872327,5.584196,2034720
2001-03-26,5.853384,5.967042,5.796555,5.951888,5.659853,1199250
2001-03-27,6.061757,6.137529,6.004928,6.039026,5.742714,1913776
2001-03-28,6.039026,6.084489,5.985985,6.020083,5.724702,1638838
2001-03-29,6.023871,6.061757,5.948099,5.963254,5.67066,2114291
2001-03-30,5.989774,6.008717,5.872327,5.985985,5.692277,2437539
2001-04-02,6.004928,6.099643,5.985985,6.061757,5.764332,2168978
2001-04-03,6.061757,6.099643,5.944311,5.997351,5.703085,1748604
2001-04-04,5.985985,6.031449,5.868539,5.879905,5.591402,1399076
2001-04-05,5.872327,5.967042,5.872327,5.944311,5.652647,1281146
2001-04-06,5.948099,5.967042,5.887482,5.906425,5.616621,872829
2001-04-09,5.902636,5.944311,5.826864,5.944311,5.652647,1489719
2001-04-10,5.948099,6.114798,5.944311,5.985985,5.692277,1604577
2001-04-11,6.057969,6.061757,5.955677,6.004928,5.710291,964604
2001-04-12,6.004928,6.099643,6.004928,6.039026,5.742714,2266954
2001-04-13,6.046603,6.118586,6.042814,6.092066,5.793153,2571826
2001-04-16,6.137529,6.326959,6.137529,6.266342,5.958878,5331731
2001-04-17,6.289073,6.326959,6.198147,6.251187,5.944466,2894545
2001-04-18,6.251187,6.285285,6.129952,6.156472,5.8544,2058798
2001-04-19,6.160261,6.171627,6.023871,6.129952,5.82918,2182353
2001-04-20,6.160261,6.209513,5.993563,6.008717,5.713893,2038196
2001-04-23,6.008717,6.035237,5.895059,5.940522,5.649045,2011464
2001-04-24,5.951888,6.061757,5.948099,6.020083,5.724702,871021
2001-04-25,6.02766,6.042814,5.826864,5.849596,5.562581,1892691
2001-04-26,5.849596,5.902636,5.804133,5.86475,5.57699,1490923
2001-04-27,5.872327,5.967042,5.857173,5.898848,5.609416,942227
2001-04-30,5.910213,6.046603,5.910213,6.012506,5.717497,1528926
2001-05-01,5.910213,6.046603,5.910213,6.012506,5.717497,0
2001-05-02,5.910213,6.046603,5.910213,6.012506,5.717497,0
2001-05-03,5.910213,6.046603,5.910213,6.012506,5.717497,0
2001-05-04,5.910213,6.046603,5.910213,6.012506,5.717497,0
2001-05-07,5.910213,6.046603,5.910213,6.012506,5.717497,0
2001-05-08,6.061757,6.391365,6.061757,6.304228,5.994904,7243871
2001-05-09,6.326959,6.345902,6.179204,6.224667,5.919247,3390762
2001-05-10,6.24361,6.326959,6.213301,6.27013,5.962481,2425820
2001-05-11,6.289073,6.43304,6.258764,6.376211,6.063356,5404093
2001-05-14,6.444406,6.64899,6.436829,6.451983,6.13541,10264317
2001-05-15,6.478503,6.512601,6.383788,6.40652,6.092178,4790950
2001-05-16,6.40652,6.592161,6.402731,6.474715,6.157028,3090945
2001-05-17,6.478503,6.497446,6.364845,6.368634,6.056151,3010720
2001-05-18,6.368634,6.444406,6.311805,6.440617,6.124602,2549752
2001-05-21,6.45956,6.501235,6.372422,6.444406,6.128205,2596334
2001-05-22,6.45956,6.588373,6.40652,6.584584,6.261506,3842639
2001-05-23,6.611104,6.64899,6.421674,6.550487,6.229081,3874055
2001-05-24,6.516389,6.694453,6.497446,6.64899,6.322751,4536276
2001-05-25,6.64899,6.728551,6.561852,6.630047,6.304737,2132490
2001-05-28,6.667933,6.667933,6.383788,6.410308,6.09578,2804287
2001-05-29,6.364845,6.489869,6.345902,6.372422,6.059753,1965312
2001-05-30,6.364845,6.482292,6.364845,6.440617,6.124602,1051172
2001-05-31,6.48608,6.546698,6.421674,6.429251,6.113794,1469936
2001-06-01,6.508812,6.546698,6.368634,6.402731,6.088575,1053159
2001-06-04,6.402731,6.558064,6.402731,6.482292,6.164233,1981761
2001-06-05,6.478503,6.630047,6.440617,6.626258,6.301134,3226485
2001-06-06,6.64899,6.67551,6.546698,6.630047,6.304737,2338371
2001-06-07,6.59595,6.660356,6.505023,6.508812,6.189451,1596104
2001-06-08,6.482292,6.501235,6.391365,6.448194,6.131808,1644843
2001-06-11,6.45956,6.497446,6.410308,6.45956,6.142615,1395801
2001-06-12,6.440617,6.508812,6.440617,6.482292,6.164233,1194528
2001-06-13,6.497446,6.573218,6.410308,6.561852,6.239889,1900180
2001-06-14,6.554275,6.573218,6.326959,6.345902,6.034534,1793539
2001-06-15,6.319382,6.421674,6.24361,6.383788,6.070562,1980837
2001-06-18,6.402731,6.421674,6.061757,6.186781,5.883221,2794650
2001-06-19,6.213301,6.236033,6.073123,6.133741,5.832783,1033067
2001-06-20,6.137529,6.205724,6.095855,6.126163,5.825576,880140
2001-06-21,6.126163,6.319382,6.118586,6.251187,5.944466,993723
2001-06-22,6.251187,6.285285,6.186781,6.251187,5.944466,700335
2001-06-25,6.24361,6.326959,6.137529,6.315593,6.005712,1658489
2001-06-26,6.326959,6.345902,6.251187,6.285285,5.976892,906754
2001-06-27,6.364845,6.364845,6.247399,6.308016,5.998507,958069
